"mLKL_Phe_Gen";"mLKL_Phe_Gen_Index";"mLKL_GRL"
"320";-34.5858224062367;-33.8845557860114;-0.70126662022524
"321";-10.9752160693068;-9.64729893654952;-1.32791713275725
"322";-28.1987560440634;-26.1034263906091;-2.09532965345425
"323";-20.6384519676272;-19.9443042021715;-0.694147765455721
"324";-15.4577890475769;-14.7678444785176;-0.689944569059247
"325";-37.7806808399098;-34.1693953340091;-3.61128550590068
"373";-13.1996275360404;-12.4941339756509;-0.705493560389467
"462";-17.0863045080146;-15.7321325362877;-1.35417197172686
"469";-13.5567492834208;-11.283946861183;-2.2728024222378
"470";-23.4051455862392;-20.8349005006203;-2.57024508561894
"473";-14.8875731511838;-11.4103113105641;-3.47726184061969
"477";-14.5098180757023;-12.1722735590403;-2.33754451666199
"480";-20.2110109535586;-18.8245144969414;-1.38649645661716
"481";-18.2075175457432;-13.8036151077177;-4.40390243802548
"482";-11.7623689200077;-10.3715555724364;-1.39081334757125
"486";-39.0099471777971;-25.0178380203376;-13.9921091574595
"336";-17.3855223769103;-13.1067557074341;-4.27876666947615
"337";-21.7689922274181;-21.0731249073873;-0.695867320030853
"338";-19.5803453182883;-18.884835030899;-0.695510287389315
"340";-25.4139604455564;-23.300555409583;-2.11340503597332
"511";-21.2481128486406;-19.8553199698123;-1.39279287882826
"514";-24.3929566555848;-22.987655108906;-1.40530154667883
"515";-15.0115463064808;-13.5771292229172;-1.43441708356366
"518";-31.9981486144164;-31.6602162462547;-0.337932368161727
